,node,sub,r,label
67,1,33,-0.007781840634715172,post
68,1,34,0.005846599157693262,pre
69,1,34,0.010993571323023687,post
70,1,35,0.012311827377982532,pre
71,1,35,0.014288995878874354,post
72,2,0,0.019590529700874874,pre
73,2,0,0.022607295370740733,post
74,2,1,0.04473821197706125,pre
75,2,1,0.04579760582425238,post
76,2,2,0.0682392082236419,pre
77,2,2,-0.0012494120412890467,post
78,2,3,-0.00015673035292928172,pre
79,2,3,0.17431153316181064,post
80,2,4,0.045430525779947675,pre
81,2,4,-0.002949423464878777,post
82,2,5,0.03039377182576071,pre
83,2,5,0.004252415482091917,post
84,2,6,0.02193811246631059,pre
85,2,6,0.007409272240280112,post
86,2,7,0.018760769596084734,pre
87,2,7,-0.01688684978328177,post
88,2,8,0.027746853880386453,pre
89,2,8,0.062336935755101505,post
90,2,9,0.040308427238611166,pre
91,2,9,0.025395968465130748,post
92,2,10,-0.01211475830542548,pre
93,2,10,0.15052026799562582,post
94,2,11,0.04542099103554671,pre
95,2,11,0.07211449531951852,post
96,2,12,0.0017976964236521783,pre
97,2,12,0.06062079638280444,post
98,2,13,0.008740535632889304,pre
99,2,13,0.10205255606861881,post
100,2,14,0.06385446392005678,pre
101,2,14,0.08137544112802282,post
102,2,15,0.02817691570912971,pre
103,2,15,-0.0026099741291660443,post
104,2,16,0.02642580386026105,pre
105,2,16,0.040229941734165,post
106,2,17,0.05785203802723486,pre
107,2,17,0.10092766266143435,post
108,2,18,0.01651695898100989,pre
109,2,18,0.022772370232352013,post
110,2,19,0.044265040423836007,pre
111,2,19,0.08380322835328233,post
112,2,20,0.014197278607252034,pre
113,2,20,-0.04996571829342591,post
114,2,21,-0.025439142495000552,pre
115,2,21,0.11697225390254287,post
116,2,22,0.02434900490791308,pre
117,2,22,-0.033391659838177074,post
118,2,23,-0.02089747198436874,pre
119,2,23,0.03626008637918304,post
120,2,24,0.05227508819236229,pre
121,2,24,-0.0348426724006093,post
122,2,25,0.029077144323456528,pre
123,2,25,0.006292512735585706,post
124,2,26,0.028413428491512727,pre
125,2,26,0.0005918957154357518,post
126,2,27,0.026418858960881003,pre
127,2,27,0.07217888542178516,post
128,2,28,0.10165545215491309,pre
129,2,28,0.08559903475425203,post
130,2,29,0.027251904751211045,pre
131,2,29,0.06767717441059762,post
132,2,30,0.10753958645645705,pre
133,2,30,0.098450457704765,post
134,2,31,0.04903082852508743,pre
