,node,sub,r,label
457,7,12,0.067002933,post
458,7,13,0.132512762,pre
459,7,13,0.166943446,post
460,7,14,0.171397364,pre
461,7,14,0.232384188,post
462,7,15,0.078805111,pre
463,7,15,0.088690097,post
464,7,16,0.045608841,pre
465,7,16,0.054950015,post
466,7,17,0.04779501,pre
467,7,17,0.137547571,post
468,7,18,0.062189805,pre
469,7,18,0.12340311,post
470,7,19,0.089641092,pre
471,7,19,0.166971092,post
472,7,20,0.05814142,pre
473,7,20,0.106094627,post
474,7,21,0.075383287,pre
475,7,21,0.141570957,post
476,7,22,0.119950661,pre
477,7,22,0.194044618,post
478,7,23,0.035505166,pre
479,7,23,0.086673935,post
480,7,24,0.017262314,pre
481,7,24,0.016917026,post
482,7,25,0.111251952,pre
483,7,25,0.103245219,post
484,7,26,0.064858045,pre
485,7,26,0.068121443,post
486,7,27,0.116321682,pre
487,7,27,0.123222138,post
488,7,28,0.054160413,pre
489,7,28,0.036730068,post
490,7,29,0.095068539,pre
491,7,29,0.120715154,post
492,7,30,0.143433796,pre
493,7,30,0.180403102,post
494,7,31,0.036614103,pre
495,7,31,0.076766419,post
496,7,32,0.046347246,pre
497,7,32,0.118124157,post
498,7,33,0.096984633,pre
499,7,33,0.060279789,post
500,7,34,0.056151486,pre
501,7,34,0.093307575,post
502,7,35,0.106372043,pre
503,7,35,0.042175754,post
504,8,0,0.004234279,pre
505,8,0,0.014753011,post
506,8,1,0.051897592,pre
507,8,1,0.053979461,post
508,8,2,0.060910413,pre
509,8,2,0.03564057,post
510,8,3,-0.050231842,pre
511,8,3,0.123682875,post
512,8,4,0.049415692,pre
513,8,4,0.013988028,post
514,8,5,0.012630592,pre
515,8,5,0.014144057,post
516,8,6,0.003765215,pre
517,8,6,0.030508582,post
518,8,7,0.006286129,pre
519,8,7,0.012973393,post
520,8,8,0.036471067,pre
521,8,8,0.051543479,post
522,8,9,0.044040711,pre
523,8,9,0.018711723,post
524,8,10,0.075281945,pre
525,8,10,0.191404803,post
526,8,11,0.011785508,pre
527,8,11,0.061952146,post
528,8,12,0.002036141,pre
529,8,12,0.057869513,post
530,8,13,0.078033825,pre
531,8,13,0.115866339,post
532,8,14,0.046180314,pre
533,8,14,0.089688411,post
534,8,15,0.028483842,pre
535,8,15,0.000944764,post
536,8,16,0.041020617,pre
537,8,16,0.021353183,post
538,8,17,0.031535524,pre
539,8,17,0.100735541,post
540,8,18,0.024930917,pre
541,8,18,0.065649244,post
542,8,19,0.060804123,pre
543,8,19,0.139268706,post
544,8,20,0.025791696,pre
545,8,20,0.037924988,post
546,8,21,0.024311635,pre
547,8,21,0.106338119,post
548,8,22,0.042620933,pre
549,8,22,0.023787955,post
550,8,23,-0.003212165,pre
551,8,23,0.042434262,post
552,8,24,0.037975691,pre
553,8,24,-0.011799037,post
554,8,25,0.019845142,pre
555,8,25,0.055890475,post
556,8,26,0.007480469,pre
557,8,26,0.034085799,post
558,8,27,0.038889073,pre
559,8,27,0.098247134,post
560,8,28,0.007852491,pre
561,8,28,0.020319279,post
562,8,29,0.035112839,pre
563,8,29,0.054393714,post
564,8,30,0.08836697,pre
565,8,30,0.101548002,post
566,8,31,0.031238202,pre
567,8,31,0.075515249,post
568,8,32,0.007896184,pre
569,8,32,0.080863274,post
570,8,33,0.016721735,pre
571,8,33,0.023564783,post
572,8,34,-0.002302269,pre
573,8,34,0.055371177,post
574,8,35,0.047404145,pre
575,8,35,0.049980442,post
576,9,0,-0.000893361,pre
577,9,0,0.03401802,post
578,9,1,0.055282782,pre
579,9,1,0.043356392,post
580,9,2,-0.011177586,pre
581,9,2,0.019283288,post
582,9,3,-0.039065203,pre
583,9,3,0.102809826,post
584,9,4,0.059836428,pre
585,9,4,0.018569996,post
586,9,5,0.04117343,pre
587,9,5,0.042851162,post
588,9,6,0.028641337,pre
589,9,6,0.03738452,post
590,9,7,-0.000933649,pre
591,9,7,0.030388573,post
592,9,8,0.048147512,pre
593,9,8,0.109068339,post
594,9,9,0.062109189,pre
595,9,9,-0.002489053,post
596,9,10,0.011985891,pre
597,9,10,0.153082648,post
598,9,11,0.019899032,pre
599,9,11,-0.015617634,post
600,9,12,0.049711295,pre
601,9,12,0.061752255,post
602,9,13,0.033451015,pre
603,9,13,0.152024531,post
604,9,14,0.039668667,pre
605,9,14,0.055579502,post
606,9,15,0.032803729,pre
607,9,15,0.018285698,post
608,9,16,0.054764355,pre
609,9,16,0.008602695,post
610,9,17,-0.014246334,pre
611,9,17,0.041346459,post
612,9,18,0.042957682,pre
613,9,18,0.10710777,post
614,9,19,0.069342981,pre
615,9,19,0.125222762,post
616,9,20,-0.006669071,pre
617,9,20,0.079375481,post
618,9,21,0.01602955,pre
619,9,21,0.059636728,post
620,9,22,0.057445232,pre
621,9,22,-0.015714037,post
622,9,23,-0.00103045,pre
623,9,23,0.070499882,post
624,9,24,0.025986093,pre
625,9,24,0.015250995,post
626,9,25,0.032474925,pre
627,9,25,0.044852679,post
628,9,26,0.074831749,pre
629,9,26,0.05406236,post
630,9,27,0.009033051,pre
631,9,27,0.08921447,post
632,9,28,0.036968888,pre
633,9,28,0.03802191,post
634,9,29,0.071416854,pre
635,9,29,0.050083575,post
636,9,30,0.124978949,pre
637,9,30,0.08552284,post
638,9,31,0.019226762,pre
639,9,31,0.058500969,post
640,9,32,-0.042704055,pre
641,9,32,0.074095399,post
642,9,33,0.005511002,pre
643,9,33,-0.007311946,post
644,9,34,-0.016826494,pre
645,9,34,0.029847817,post
646,9,35,0.062096969,pre
647,9,35,0.024374226,post
648,10,0,0.188995086,pre
649,10,0,0.158893152,post
650,10,1,0.09098049,pre
651,10,1,0.093428473,post
652,10,2,0.179294235,pre
653,10,2,0.107583612,post
654,10,3,0.227522088,pre
655,10,3,0.223521338,post
656,10,4,0.128016195,pre
657,10,4,0.110070548,post
658,10,5,0.245239241,pre
659,10,5,0.196279401,post
660,10,6,0.09719532,pre
661,10,6,0.06089907,post
662,10,7,0.196881497,pre
663,10,7,0.143611056,post
664,10,8,0.208638497,pre
665,10,8,0.193464317,post
666,10,9,0.165924022,pre
667,10,9,0.153592725,post
668,10,10,0.203573468,pre
669,10,10,0.266255084,post
670,10,11,0.237537837,pre
671,10,11,0.194961141,post
672,10,12,0.134662638,pre
673,10,12,0.126743589,post
674,10,13,0.206333174,pre
675,10,13,0.16626931,post
676,10,14,0.261219225,pre
677,10,14,0.26596754,post
678,10,15,0.198730604,pre
679,10,15,0.190675508,post
680,10,16,0.197221467,pre
681,10,16,0.202734317,post
682,10,17,0.095659325,pre
683,10,17,0.128542154,post
684,10,18,0.202150927,pre
685,10,18,0.224982367,post
686,10,19,0.109979127,pre
687,10,19,0.135808692,post
688,10,20,0.090148113,pre
689,10,20,0.146631823,post
690,10,21,0.178415185,pre
691,10,21,0.201059457,post
692,10,22,0.245868863,pre
693,10,22,0.234550451,post
694,10,23,0.158693561,pre
695,10,23,0.121153113,post
696,10,24,0.123821462,pre
697,10,24,0.173996697,post
698,10,25,0.250088453,pre
699,10,25,0.194693249,post
700,10,26,0.144401865,pre
701,10,26,0.131911351,post
702,10,27,0.060871121,pre
703,10,27,0.050009723,post
704,10,28,0.29562388,pre
705,10,28,0.20739361,post
706,10,29,0.104392202,pre
707,10,29,0.10185102,post
708,10,30,0.26250388,pre
709,10,30,0.278988866,post
710,10,31,0.195664397,pre
711,10,31,0.229128412,post
712,10,32,0.158008042,pre
713,10,32,0.196101255,post
714,10,33,0.206004496,pre
715,10,33,0.187128481,post
716,10,34,0.114312417,pre
717,10,34,0.142643136,post
718,10,35,0.245897474,pre
719,10,35,0.269323515,post
720,11,0,0.049156995,pre
721,11,0,0.050043878,post
722,11,1,0.024542571,pre
723,11,1,0.025139279,post
724,11,2,0.028529019,pre
725,11,2,-0.019672869,post
726,11,3,0.057298419,pre
727,11,3,0.062859224,post
728,11,4,0.016714312,pre
729,11,4,0.014757736,post
730,11,5,0.055902111,pre
731,11,5,0.070411542,post
732,11,6,0.043028658,pre
733,11,6,0.002818239,post
734,11,7,0.076819139,pre
735,11,7,0.039289548,post
736,11,8,0.046285303,pre
737,11,8,0.04448849,post
738,11,9,0.054259464,pre
739,11,9,0.039207536,post
740,11,10,0.077379765,pre
741,11,10,0.098717831,post
742,11,11,0.105773391,pre
743,11,11,0.082854595,post
744,11,12,0.01925373,pre
745,11,12,0.051573529,post
746,11,13,0.054743368,pre
747,11,13,0.061026756,post
748,11,14,0.106239122,pre
749,11,14,0.088939384,post
750,11,15,0.088886544,pre
751,11,15,0.058920835,post
752,11,16,0.042141347,pre
753,11,16,0.023956759,post
754,11,17,0.038773919,pre
755,11,17,0.066796396,post
756,11,18,0.069942246,pre
757,11,18,0.07360911,post
758,11,19,0.057390473,pre
759,11,19,0.065607618,post
760,11,20,0.006511425,pre
761,11,20,0.04778877,post
762,11,21,0.050021315,pre
763,11,21,0.070306647,post
764,11,22,0.156045293,pre
765,11,22,0.087122157,post
766,11,23,0.053938997,pre
767,11,23,0.057181338,post
768,11,24,0.023744727,pre
769,11,24,0.064060229,post
770,11,25,0.093206205,pre
771,11,25,0.104563837,post
772,11,26,0.004026172,pre
773,11,26,0.012520668,post
774,11,27,-0.003037726,pre
775,11,27,0.001514294,post
776,11,28,0.060434698,pre
777,11,28,0.036475076,post
778,11,29,0.04375197,pre
779,11,29,0.063734974,post
780,11,30,0.118655238,pre
781,11,30,0.071234814,post
782,11,31,0.029731665,pre
783,11,31,0.069000251,post
784,11,32,0.006757597,pre
785,11,32,0.024936874,post
786,11,33,0.057725273,pre
787,11,33,0.063557309,post
788,11,34,0.021014923,pre
789,11,34,0.070835288,post
790,11,35,0.078827742,pre
791,11,35,0.073307741,post
792,12,0,0.122132666,pre
793,12,0,0.170238187,post
794,12,1,0.073821537,pre
795,12,1,0.084212609,post
796,12,2,0.084643801,pre
797,12,2,0.06329356,post
798,12,3,0.046932586,pre
799,12,3,0.082464064,post
800,12,4,0.072141699,pre
801,12,4,0.07295828,post
802,12,5,0.124542268,pre
803,12,5,0.062253881,post
804,12,6,0.102766306,pre
805,12,6,0.028463221,post
806,12,7,0.118813111,pre
807,12,7,0.082587194,post
808,12,8,0.058838519,pre
809,12,8,0.098554739,post
810,12,9,0.137540878,pre
811,12,9,0.154907186,post
812,12,10,0.231666275,pre
813,12,10,0.292779764,post
814,12,11,0.126199119,pre
815,12,11,0.132990739,post
816,12,12,0.155293976,pre
817,12,12,0.127457804,post
818,12,13,0.155312565,pre
819,12,13,0.098260109,post
820,12,14,0.196155321,pre
821,12,14,0.193367928,post
822,12,15,0.135901633,pre
823,12,15,0.060361665,post
824,12,16,0.102363029,pre
825,12,16,0.084648131,post
826,12,17,0.083247235,pre
827,12,17,0.126907884,post
828,12,18,0.12551775,pre
829,12,18,0.128270763,post
830,12,19,0.088068297,pre
831,12,19,0.134839197,post
832,12,20,0.078120871,pre
833,12,20,0.127995707,post
834,12,21,0.151058348,pre
835,12,21,0.181887161,post
836,12,22,0.191007384,pre
837,12,22,0.219305268,post
838,12,23,0.093679041,pre
839,12,23,0.067017663,post
840,12,24,0.098766965,pre
841,12,24,0.183344508,post
842,12,25,0.210636732,pre
843,12,25,0.147203262,post
844,12,26,0.104728169,pre
845,12,26,0.10333755,post
846,12,27,0.042736581,pre
847,12,27,0.02451419,post
848,12,28,0.18966263,pre
849,12,28,0.15799818,post
850,12,29,0.067817899,pre
851,12,29,0.081572762,post
852,12,30,0.267290353,pre
853,12,30,0.280220107,post
854,12,31,0.116543423,pre
855,12,31,0.148333424,post
856,12,32,0.05366576,pre
857,12,32,0.121277747,post
858,12,33,0.114161886,pre
859,12,33,0.07552076,post
860,12,34,0.069191181,pre
861,12,34,0.128097108,post
862,12,35,0.144485047,pre
863,12,35,0.160874361,post
864,13,0,0.015460384,pre
865,13,0,0.043108672,post
866,13,1,0.067088368,pre
867,13,1,0.075411278,post
868,13,2,0.072911587,pre
869,13,2,0.016121175,post
870,13,3,0.032538195,pre
871,13,3,0.082068536,post
872,13,4,0.034420974,pre
873,13,4,0.021305057,post
874,13,5,0.052821052,pre
875,13,5,0.012245201,post
876,13,6,0.004967179,pre
877,13,6,0.002444327,post
878,13,7,0.024132396,pre
879,13,7,0.04475204,post
880,13,8,0.011205583,pre
881,13,8,0.029025787,post
882,13,9,0.033129392,pre
883,13,9,0.068781286,post
884,13,10,0.036468809,pre
885,13,10,0.093196799,post
886,13,11,0.086453267,pre
887,13,11,0.104501481,post
888,13,12,0.010331552,pre
889,13,12,0.018344354,post
890,13,13,0.008184704,pre
891,13,13,0.049766601,post
892,13,14,0.053720965,pre
893,13,14,0.069273704,post
894,13,15,0.042311916,pre
895,13,15,0.016177982,post
896,13,16,0.047069928,pre
897,13,16,-0.061013054,post
898,13,17,0.059525442,pre
899,13,17,0.031613665,post
900,13,18,0.013972015,pre
901,13,18,-0.00419554,post
902,13,19,0.061331151,pre
903,13,19,0.103764608,post
904,13,20,-0.002109073,pre
905,13,20,0.024027719,post
906,13,21,0.025670333,pre
907,13,21,0.034406692,post
908,13,22,0.036912184,pre
909,13,22,0.061750036,post
910,13,23,0.010388053,pre
911,13,23,0.032667252,post
912,13,24,-0.004855795,pre
913,13,24,-0.033544032,post
914,13,25,0.021676077,pre
915,13,25,0.033688124,post
916,13,26,0.044023532,pre
917,13,26,0.046838189,post
918,13,27,0.010162917,pre
919,13,27,0.023550753,post
920,13,28,0.060272569,pre
921,13,28,0.046883615,post
922,13,29,0.032731,pre
923,13,29,0.064120923,post
924,13,30,0.066914813,pre
925,13,30,0.129984851,post
926,13,31,-0.025616906,pre
927,13,31,0.043322168,post
928,13,32,0.027365561,pre
929,13,32,0.02562927,post
930,13,33,0.02226387,pre
931,13,33,-0.01565352,post
932,13,34,0.008848258,pre
933,13,34,0.064308129,post
934,13,35,0.026468277,pre
935,13,35,0.014697745,post
936,14,0,-0.000303914,pre
937,14,0,0.019794775,post
938,14,1,0.030949022,pre
939,14,1,0.051570861,post
940,14,2,0.009637162,pre
941,14,2,-0.017511751,post
942,14,3,-0.045651645,pre
943,14,3,0.044430012,post
944,14,4,0.021253099,pre
945,14,4,0.041268526,post
946,14,5,-0.001189423,pre
947,14,5,0.009265823,post
948,14,6,0.025318043,pre
949,14,6,0.001702344,post
950,14,7,0.024426716,pre
951,14,7,-0.012777045,post
952,14,8,0.004444939,pre
953,14,8,0.066235825,post
954,14,9,0.002421351,pre
