"node","n_sub","mean_pre","mean_post","mean_diff","t","p","p_fdr"
"31",36,3.72318071249948e-05,-0.000133064447976411,0.000170296255101405,5.3849935090783,4.99746446748349e-06,2.42733988420626e-05
"32",36,2.44935827559823e-05,-0.00011369713631891,0.000138190719074892,7.8901237620652,2.81904504256257e-09,7.18856485853454e-08
"33",36,3.67994711708491e-05,-0.000122076035527151,0.000158875506698001,4.32994021468281,0.000118997263520131,0.000247708589368437
"34",36,3.38425377137589e-05,-0.000139960246875132,0.000173802784588891,4.5697784871871,5.84049082264802e-05,0.00016548057330836
"35",36,3.63489613666422e-05,-0.000192039383771596,0.000228388345138239,6.97221172271599,4.14941263166621e-08,5.29050110537442e-07
"36",36,1.49655981942005e-05,-0.00014397411201298,0.000158939710207181,3.44486042386429,0.00150093415114549,0.00215627159742029
"37",36,2.49526536759597e-05,-0.00015722986939386,0.00018218252306982,4.28121340974459,0.000137373853248749,0.000269464096757162
"38",36,5.87038490183517e-05,-0.000161691371980686,0.000220395220999038,8.70506308751038,2.80049282715705e-10,1.42825134185009e-08
"39",36,5.70325532828398e-05,-0.000213255393388637,0.000270287946671477,8.87695558950002,1.73866820785398e-10,1.42825134185009e-08
"40",36,1.72672936370332e-05,-0.000249204472013787,0.00026647176565082,6.36061844271423,2.59364379323484e-07,2.26472665035737e-06
"41",36,3.57751620412707e-05,-0.000197839140810418,0.000233614302851689,7.76366758662972,4.06201305144904e-09,8.28650662495605e-08
"42",36,3.89314339830786e-05,-0.0001426859998354,0.000181617433818479,5.10372748647343,1.17242209799249e-05,4.70994756663011e-05
"43",36,3.86778317018558e-05,-0.000160036392274522,0.000198714223976378,5.03847027458819,1.42823282838971e-05,5.39554624058334e-05
"44",36,3.06172027776793e-05,-0.000126563153111891,0.00015718035588957,2.77262327671644,0.00885141022968015,0.0102595891298565
"45",36,3.71859164315905e-05,-0.000126931453279857,0.000164117369711447,4.79787275313834,2.94985782881477e-05,9.20081858425194e-05
"46",36,5.66927266431525e-05,-0.000146831983653443,0.000203524710296596,4.65371492548313,4.54519904358726e-05,0.000132460086413115
"47",36,3.15245842202329e-05,-0.000192788802404435,0.000224313386624668,6.55373962891315,1.45002893210707e-07,1.47902951074921e-06
"48",36,4.59893526653338e-05,-0.000189350690947439,0.000235340043612773,6.64724388635403,1.09515327147185e-07,1.2411737076681e-06
"49",36,1.84896416404316e-05,-0.000123065927136268,0.0001415555687767,3.17639329657093,0.0031088417617882,0.004118205970161
"50",36,3.16611153986098e-05,-9.64304425183035e-05,0.000128091557916913,3.96775034928665,0.000342696640273362,0.00058990427021024
"51",36,2.13614008415859e-05,-0.000121461778258322,0.000142823179099908,4.49739338116054,7.24564063386012e-05,0.000180257401135057
"52",36,3.07961605773108e-05,-0.000110286452551166,0.000141082613128477,3.00733027626253,0.00485526360060811,0.00611403564521021
"53",36,4.46458073147777e-05,-6.57326048966034e-05,0.000110378412211381,3.16360304956925,0.0032166486151539,0.00420638665058587
"54",36,3.35251794000905e-05,-0.000138965635187541,0.000172490814587631,4.16588272799051,0.000192690783257478,0.000350972498076121
"55",36,3.88915862600533e-05,-7.14109481767299e-05,0.000110302534436783,2.58100401149636,0.0142018625141308,0.0152483155414878
"56",36,2.45265236873555e-05,-0.000102531405825417,0.000127057929512773,2.97712434952843,0.0052518863417258,0.00653283422995161
"57",36,4.17504943913191e-05,-7.41084581273908e-05,0.00011585895251871,2.7503501814586,0.00935931266655402,0.0107264032807698
"58",36,2.93081034601046e-05,-7.76997742016864e-05,0.000107007877661791,2.52937354394014,0.0160848724334118,0.0169139895691547
"59",36,4.42166408970918e-05,-0.000147303986282817,0.000191520627179909,6.0827560802256,6.00824970809332e-07,4.37743907303942e-06
"60",36,2.69345684349686e-05,-0.000144145707673881,0.000171080276108849,5.02497954015565,1.48766892030086e-05,5.41936535252454e-05
"61",36,5.19880706145361e-05,-0.000128106228319434,0.00018009429893397,4.44849510975878,8.37846785840746e-05,0.000194228118535809
"62",36,8.15875321528874e-06,-9.14324966820398e-05,9.95912498973285e-05,2.35335690209443,0.0243512309827902,0.0253451587780061
"63",36,2.32656517761587e-05,-0.00015204841068125,0.000175314062457409,4.42378193208252,9.01565558309803e-05,0.000199912362929565
"64",36,5.59895091627523e-05,-0.00015372332061442,0.000209712829777172,5.7775572121705,1.51656729297009e-06,9.09940375782055e-06
"65",36,4.21072463122375e-05,-0.000170940034974318,0.000213047281286556,4.98015849024298,1.70334351014548e-05,5.79005486132681e-05
"66",36,4.3148900461077e-05,-0.00014433118732853,0.000187480087789607,5.74087431324406,1.6953135003668e-06,9.10115668617966e-06
"67",36,3.64184664828454e-05,-0.000108414316538996,0.000144832783021841,4.17258297696057,0.000188951328994413,0.000350418828316912
"68",36,4.63620530680805e-05,-9.85712243028062e-05,0.000144933277370887,4.52658661610191,6.64277451107029e-05,0.000178306052665571
"69",36,5.21582886004026e-05,-0.000115362605889545,0.000167520894489948,4.26075051738785,0.000145897353412137,0.000280783585812037
"70",36,5.2975728950871e-05,-6.59554118236921e-05,0.000118931140774563,2.94907145497123,0.0056474021318268,0.00685755973150396
"71",36,4.62080781623391e-05,-0.000124366847130446,0.000170574925292785,3.65076713813072,0.000846023110444264,0.001295790721873
"72",36,4.99061671755025e-05,-0.000148155703870827,0.000198061871046329,4.77392722334702,3.16990243387511e-05,9.50970730162532e-05
"73",36,3.79728986777507e-05,-0.00013724931763513,0.000175222216312881,5.90313316074275,1.03582630377523e-06,6.61673877130528e-06
"74",36,3.12799069773569e-05,-0.000151045620656295,0.000182325527633652,4.45513153356682,8.21505167265522e-05,0.000194228118535809
"75",36,3.16046586140165e-05,-0.000131571541564918,0.000163176200178934,3.54229906219332,0.00114599876058548,0.00169408512434375
"76",36,4.16520863281045e-05,-0.000149654356245526,0.000191306442573631,6.35169866985511,2.66438429453808e-07,2.26472665035737e-06
"77",36,3.8343518788898e-05,-0.000128641003422208,0.000166984522211106,4.39814567472708,9.72704438866145e-05,0.000206699693259056
"78",36,3.6636269707509e-05,-0.000146924780311851,0.00018356105001936,4.51176725049179,6.94235355698181e-05,0.000180257401135057
"79",36,4.27150894338102e-05,-9.99801555534741e-05,0.000142695244987284,4.04660818432224,0.000272759667830441,0.000479680795150085
"80",36,4.08845020902081e-05,-8.96544663599558e-05,0.000130538968450164,6.19168208191679,4.32061911919894e-07,3.39002423198686e-06
"81",36,4.11048079002112e-05,-0.000130934193726339,0.000172039001626551,5.25099830692376,7.50456837997551e-06,3.18944156148959e-05
"82",36,2.38685175595888e-05,-0.000102163800203855,0.000126032317763444,2.87661015698696,0.00680252330319033,0.0081630279638284
"83",36,3.13581443626117e-05,-8.73750070717094e-05,0.000118733151434321,3.33729223679005,0.00201504290126318,0.00274045834571793
"84",36,3.33081723420816e-05,-0.000147787078152714,0.000181095250494795,3.64861595174268,0.000851156650642072,0.001295790721873
"85",36,3.97607606660897e-05,-0.000110505186067121,0.00015026594673321,4.42540242638395,8.97245049208803e-05,0.000199912362929565
"86",36,8.46421854268491e-06,-0.000145983667337791,0.000154447885880476,4.25285732779186,0.000149322063318833,0.000282052786268906
"87",36,4.71919808562663e-05,-0.000148366981551368,0.000195558962407634,4.40666968237072,9.48458404378574e-05,0.000205835653716201
"88",36,4.5549225363531e-05,-0.000111920093519414,0.000157469318882945,3.29529568815259,0.00225838131127842,0.00303098544408419
"89",36,3.53764969933397e-05,-0.000125814264611303,0.000161190761604643,4.45106385100154,8.31483845980291e-05,0.000194228118535809
"90",36,1.14366638147682e-05,-0.000140640052678217,0.000152076716492985,3.39597126989014,0.00171669980886893,0.00243199139589765
"91",36,3.69965647797747e-05,-6.683722258041e-05,0.000103833787360185,3.07608692562585,0.00405529984170913,0.00523595675764976
"92",36,5.13575450755297e-05,-0.000134446033401129,0.000185803578476659,7.25582040769812,1.79178846380358e-08,3.04604038846609e-07
"93",36,6.60599471549871e-05,-0.000130359634293094,0.000196419581448081,4.50558851014982,7.07115910236599e-05,0.000180257401135057
"94",36,4.68114075657493e-05,-0.000108532032700798,0.000155343440266547,3.95143528650765,0.000359211710750611,0.000600649090107579
"95",36,4.43245615978172e-05,-0.000111074951253279,0.000155399512851096,3.34420597705455,0.00197746824905584,0.00272569947842832
"96",36,3.06164168941987e-05,-0.00010540039528078,0.000136016812174979,3.04334406994131,0.00441931123324959,0.00563462182239323
"97",36,4.07511249093912e-05,-0.00010575002876585,0.000146501153675241,3.51658410695221,0.00123090356991474,0.00179360234473291
"98",36,5.15790918869412e-05,-8.22079834913845e-05,0.000133787075378326,3.74044726353866,0.00065674462507348,0.00106330082154754
"99",36,1.46844177635179e-05,-0.000107490712381265,0.000122175130144783,2.5340902934804,0.015903789921785,0.0168977767918965
"100",36,3.55634080627565e-05,-6.25005631075775e-05,9.8063971170334e-05,2.63687498331241,0.012394268725119,0.0137414718474146
"hippocampus_L",36,2.65814834802244e-05,-0.000109552104299989,0.000136133587780213,3.69065349433356,0.000756091143069057,0.00120502025926631
"hippocampus_R",36,1.91967045436038e-05,-0.000106455114700187,0.00012565181924379,2.95062277423803,0.00562481750700025,0.00685755973150396
