,sub,node,episode,label,r
183,sub-01,19,4,reappraisal,-0.08912710944459805
184,sub-01,19,5,control,0.5557728487388679
185,sub-01,19,6,reappraisal,0.1747275655234054
186,sub-01,19,7,reappraisal,0.3859808515883485
187,sub-01,19,8,control,-0.2265680823468672
188,sub-01,19,9,control,0.364577531851045
189,sub-01,19,10,reappraisal,-0.3498725234181158
190,sub-01,20,1,reappraisal,0.793877509278184
191,sub-01,20,2,control,0.7369331532014998
192,sub-01,20,3,control,0.5133682185369774
193,sub-01,20,4,reappraisal,-0.46516287847083165
194,sub-01,20,5,control,-0.48445212193663106
195,sub-01,20,6,reappraisal,0.20471768066784182
196,sub-01,20,7,reappraisal,0.5200502806000378
197,sub-01,20,8,control,-0.08601584636480339
198,sub-01,20,9,control,0.42247306953352387
199,sub-01,20,10,reappraisal,-0.295535352480142
200,sub-01,21,1,reappraisal,0.1809162951765938
201,sub-01,21,2,control,0.43067706326212307
202,sub-01,21,3,control,-0.028739909861910475
203,sub-01,21,4,reappraisal,0.20109873374590748
204,sub-01,21,5,control,0.05326047664900072
205,sub-01,21,6,reappraisal,0.05740924090819951
206,sub-01,21,7,reappraisal,0.37920897604288417
207,sub-01,21,8,control,0.09630236525565215
208,sub-01,21,9,control,0.002604726482994725
209,sub-01,21,10,reappraisal,0.03661275395446091
210,sub-01,22,1,reappraisal,0.06534246543047244
211,sub-01,22,2,control,0.49811812152765517
212,sub-01,22,3,control,0.4679464229298992
213,sub-01,22,4,reappraisal,-0.3903825346747052
214,sub-01,22,5,control,-0.0402363063380401
215,sub-01,22,6,reappraisal,0.24927585344932568
216,sub-01,22,7,reappraisal,0.7648735991346552
217,sub-01,22,8,control,0.039263320368445286
218,sub-01,22,9,control,0.22021924940072823
219,sub-01,22,10,reappraisal,0.1524640693225123
220,sub-01,23,1,reappraisal,-0.1338272219332545
221,sub-01,23,2,control,0.37122413755366823
222,sub-01,23,3,control,0.18350378222087954
223,sub-01,23,4,reappraisal,0.16672781870650685
224,sub-01,23,5,control,0.24096186209138298
225,sub-01,23,6,reappraisal,-0.12108589570443593
226,sub-01,23,7,reappraisal,0.09765010288826065
227,sub-01,23,8,control,0.06933004689955898
228,sub-01,23,9,control,-0.1649793570721713
229,sub-01,23,10,reappraisal,-0.030971273752278077
230,sub-01,24,1,reappraisal,-1.1145636850353324
231,sub-01,24,2,control,0.7478585406517256
232,sub-01,24,3,control,0.6546653244863961
233,sub-01,24,4,reappraisal,0.706017618523362
234,sub-01,24,5,control,0.8385597281852214
235,sub-01,24,6,reappraisal,0.5743523219947101
236,sub-01,24,7,reappraisal,1.1793772320189966
237,sub-01,24,8,control,0.8702155388932376
238,sub-01,24,9,control,0.3313419190012843
239,sub-01,24,10,reappraisal,0.3513118020560997
240,sub-01,25,1,reappraisal,-0.13012001745552693
241,sub-01,25,2,control,0.43209352566394527
242,sub-01,25,3,control,0.0691979596590146
243,sub-01,25,4,reappraisal,0.4563116034824848
244,sub-01,25,5,control,0.07103953306219044
245,sub-01,25,6,reappraisal,-0.1751600386152108
246,sub-01,25,7,reappraisal,0.5021508482072312
247,sub-01,25,8,control,-0.12476323120376488
248,sub-01,25,9,control,0.21985385517083061
249,sub-01,25,10,reappraisal,0.1049611373377976
250,sub-01,26,1,reappraisal,-0.8637536667646994
251,sub-01,26,2,control,0.29046162946682685
252,sub-01,26,3,control,-0.5052074447926779
253,sub-01,26,4,reappraisal,0.45763638260948314
254,sub-01,26,5,control,-0.27997291245759115
255,sub-01,26,6,reappraisal,-0.5501964228121804
256,sub-01,26,7,reappraisal,0.6543294913148391
257,sub-01,26,8,control,-0.09936865886360947
258,sub-01,26,9,control,0.48646893919867507
259,sub-01,26,10,reappraisal,-0.14036468225448526
260,sub-01,27,1,reappraisal,-0.44022427969238576
261,sub-01,27,2,control,0.6326964821157186
262,sub-01,27,3,control,-0.1957968860178263
263,sub-01,27,4,reappraisal,-0.25467754267337395
264,sub-01,27,5,control,0.06629401956203121
265,sub-01,27,6,reappraisal,-0.661597118583996
266,sub-01,27,7,reappraisal,0.19805381146357215
267,sub-01,27,8,control,-0.06438312528989432
268,sub-01,27,9,control,0.2332997337605403
269,sub-01,27,10,reappraisal,0.281420418018011
270,sub-01,28,1,reappraisal,-0.6047646897404061
271,sub-01,28,2,control,1.0413179413483642
272,sub-01,28,3,control,0.3121015134986183
273,sub-01,28,4,reappraisal,0.12965566076819585
274,sub-01,28,5,control,-0.9427188699237514
275,sub-01,28,6,reappraisal,-0.28563674191909527
276,sub-01,28,7,reappraisal,0.898008282093399
277,sub-01,28,8,control,-0.8707684367263446
278,sub-01,28,9,control,1.3019467138183944
279,sub-01,28,10,reappraisal,0.3919371938510233
280,sub-01,29,1,reappraisal,0.02151693134330284
281,sub-01,29,2,control,0.8451718629453855
282,sub-01,29,3,control,0.2750571502912293
283,sub-01,29,4,reappraisal,-0.2776602833413233
284,sub-01,29,5,control,-0.47166055971041554
285,sub-01,29,6,reappraisal,-0.25780896406033893
286,sub-01,29,7,reappraisal,0.29843487134537905
287,sub-01,29,8,control,0.09639905795373091
288,sub-01,29,9,control,0.43303794489000336
289,sub-01,29,10,reappraisal,0.23716724596280847
290,sub-01,30,1,reappraisal,-0.6652721456206997
