,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_lucy_slope_estimate,L1_lucy_slope_p,L1_lucy_slope_q,L2_lucy_slope_estimate,L2_lucy_slope_p,L2_lucy_slope_q
78,79,439,0.0488978615903761,0.13662260305136434,0.0057810961977636,2.02680210981846e-06,9.844467390546807e-06,412,0.110182923017419,0.3848369795538026,-0.0003742419625381,0.705242391376596,0.8795106107244993,0.0030776690801508,8.64295610703077e-05,0.0086555854477642,-0.0077333741338247,1.6975341051924402e-17,9.619359929423827e-17,-0.0001669811521215,0.816398013850551,0.956083527175211
79,80,510,0.0022987875127,0.0334966180422,0.0037420029832214,2.50196223938536e-05,7.505886718156081e-05,432,0.0613600943906931,0.3848369795538026,0.0007253534343887,0.319668073151708,0.8100540367820431,0.0015083247744164,0.0082866145410991,0.02516593812528098,-0.0070923922646844,1.42731914578019e-26,2.079807898136848e-25,-0.0011802757518251,0.0285939906295682,0.1268938930254965
80,81,426,0.0738501180749154,0.1477002361498308,0.006570795083786,3.03820215738294e-05,8.375584325758376e-05,417,0.0959971069823951,0.3848369795538026,-0.0001460768195792,0.923693703466756,0.9586275196038793,0.0033584359516826,0.0020987799863033,0.017629961508262938,-0.0080029555828705,2.5493104549173598e-12,5.532546093650441e-12,-0.0002338156744756,0.822064340877011,0.956083527175211
82,83,439,0.0488978615903761,0.13662260305136434,0.0039137952135383,0.0004562694032372,0.0007506367601644259,383,0.220678514771862,0.4328693943601909,-0.0006172623944695,0.528694628811428,0.8405551533270356,0.0022655288040039,0.0022469558785041,0.017629961508262938,-0.0055008427425246,4.6039010901476696e-11,7.453935098334322e-11,0.0009913016545801,0.171053425602432,0.3489489882289613
84,85,455,0.0277987974259304,0.11314275440963681,0.005840076542924,2.64294932659088e-05,7.702309466064851e-05,412,0.110182923017419,0.3848369795538026,0.0002941783683533,0.82298026719125,0.9195859750101778,0.0027729490872853,0.0036869598732727,0.01893066407076513,-0.0066031393269042,7.243772168988791e-10,1.026201057273412e-09,0.0017195230379899,0.0817667471804282,0.23167245034454656
86,87,398,0.157464097894263,0.2397214624658929,0.0058623763837894,8.98999819815424e-06,3.056599387372442e-05,256,0.886812653072411,0.8955929763701576,0.001407835007176,0.269718031677098,0.7929202445137071,0.0022272706883067,0.0150308002476368,0.03650337202997509,-0.0056341544689947,2.5466490623262904e-09,3.37348317347119e-09,-0.0013886654477914,0.13787280602493,0.312511693656508
87,88,450,0.0333983002055902,0.11355422069900668,0.0070512523993899,1.3131927738462e-05,4.3208278365262065e-05,389,0.193856950645568,0.42071082906059437,0.0010594759934464,0.513877598657196,0.8405551533270356,0.0029958882029717,0.0088253919369105,0.02516593812528098,-0.0062399568000788,2.02979661484779e-07,2.2751566452140062e-07,0.000228625211184,0.843889570289349,0.956083527175211
89,90,525,0.0009795586811378,0.017673851602011702,0.0057012901961554,0.0004139634705862,0.0007156656610134304,379,0.239652566684526,0.44444657821493916,-9.59696259376415e-05,0.949229210588155,0.9586275196038793,0.0028986299110465,0.0083871113138811,0.02516593812528098,-0.0112807691290926,5.8274447209811e-20,4.24570972528623e-19,-0.0023212942931093,0.0359687028242459,0.14110798800281085
91,92,525,0.0009795586811378,0.017673851602011702,0.0053688456635804,3.32950257409597e-06,1.5436784661717677e-05,366,0.306852803347283,0.47422705971852824,0.0018454368434202,0.0786457786580071,0.5365412172594697,0.0017617044100801,0.0232849437388079,0.04567431271843088,-0.0094248376509326,2.98701816491298e-27,5.077930880352066e-26,-0.0034609171600968,5.78244766397151e-06,0.00011796193234501881
92,93,498,0.0042921385320369,0.048644236696418194,0.0075468184639161,1.1991997915892e-06,6.11591893710492e-06,341,0.453677607540158,0.5508942377273347,0.00272840615492,0.0573146910011824,0.5314634983746004,0.002409206154498,0.0218860351513859,0.044831210782852994,-0.0109109357105301,1.95045066638483e-20,1.5303535997788668e-19,-0.0050271877188194,3.60334798181261e-06,9.188537353622156e-05
94,95,435,0.0557520555012161,0.13780425747509897,0.0064201208825961,8.82140372724136e-05,0.00020449617731332242,389,0.193856950645568,0.42071082906059437,0.0001084463054846,0.941513122453519,0.9586275196038793,0.0031558372885557,0.0042436512742302,0.020612020474832404,-0.0081411595513906,2.17290643669353e-11,3.888358886714738e-11,4.92655598732434e-05,0.964892270928984,0.9908209078480869
95,96,395,0.169074771678424,0.253612157517636,0.0047344599322855,0.0002672783347954,0.0004868283955201928,393,0.177105315000517,0.42071082906059437,0.0005848725019997,0.633990030032852,0.8795106107244993,0.0020747937151428,0.0201712403023481,0.0447168759706098,-0.0071820263690091,3.6619763321613603e-14,1.1672549558764337e-13,0.0001173134812457,0.890538514672092,0.9873361793103629
