,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_steve_slope_estimate,L1_steve_slope_p,L1_steve_slope_q,L2_steve_slope_estimate,L2_steve_slope_p,L2_steve_slope_q
28,29,453,0.0299395626498153,0.2181310993057972,0.0046679232482668,1.63275127361158e-06,3.4695964564246075e-06,437,0.0522380541078746,0.538235375577642,4.20737942347016e-05,0.964488864052992,0.975033606639129,0.002312924727016,0.0006618936315536,0.00225043834728224,-0.0031776615971483,0.0126923872663471,0.046236553613121574,0.0009748754285664,0.445598690868488,0.8671420800140424
30,31,307,0.659630379057489,0.8641796008771718,0.0051277028061858,3.20430835027386e-10,2.178929678186225e-09,419,0.090706239148858,0.5800669573413271,0.0001410797369808,0.84026473023002,0.9418351921259565,0.0024933115346024,3.67307456907549e-06,4.6831700755712497e-05,-0.0020557635844798,0.0694290080722276,0.15067571964611096,0.0005729968213223,0.555608448437473,0.8671420800140424
31,32,266,0.853622691516648,0.9165782744031661,0.0052966822631251,2.42231367913275e-18,1.2353799763577026e-16,317,0.601055426959647,0.6811961505542666,0.0021548597775753,6.32886655397704e-05,0.0022061828507238396,0.0015709112427748,9.61331225252679e-05,0.0006537052331718217,-0.0033194863460577,6.52072409058898e-05,0.001330227714480152,-0.0012772755953636,0.0726922291022713,0.5703544129562825
32,33,295,0.725158829794964,0.8641796008771718,0.0060069729267449,4.971316860020651e-09,2.4146396177243163e-08,325,0.552465907152509,0.6757170195967109,0.0008375753122005,0.392861198784451,0.6908938323450691,0.0025846988072722,0.0002635911401129,0.0012802998234055143,-0.0035730615413881,0.0095316183520842,0.042611359412525994,-0.0012171728152804,0.358214893813912,0.8671420800140424
34,35,417,0.0959971069823951,0.34181060787614137,0.0028605200742696,0.0030528150402649,0.0033846427620328238,398,0.157464097894263,0.5800669573413271,-0.0006452930568218,0.504295549929785,0.7684414942214085,0.0017529065655457,0.0102118816822523,0.018273893536662013,-0.0020931387670514,0.104584393352014,0.19049300217688261,-0.0011250841529795,0.372706084315411,0.8671420800140424
36,37,303,0.682131600755383,0.8641796008771718,0.0046836447745559,8.61964715181072e-06,1.3737562648198336e-05,349,0.40495105861919,0.616469201013387,0.0004055786181625,0.67522488595741,0.889895867267568,0.0021390330781967,0.0027199708495994,0.0064520238757939255,-0.0038846901785638,0.0047401683313616,0.029310721243747197,-6.68798700590707e-05,0.959567893747159,0.9928729111529907
37,38,426,0.0738501180749154,0.32750921928875526,0.0063217632823508,8.33338255053884e-16,2.8333500671832057e-14,301,0.693147196652717,0.7364688964435118,0.0024842962235378,0.0004891586859797,0.00997883719398588,0.0019187335294064,0.0002764346337075,0.0012816514835529544,-0.0046601034276542,3.65486167081011e-06,0.00018639794521131561,-0.0024674834751714,0.010281884627747,0.27704358569975596
39,40,536,0.0004955305776093,0.0505441189161486,0.0044224585540759,4.53096826808747e-05,6.418871713123915e-05,382,0.22534171064035,0.5800669573413271,0.0002936433833617,0.773770792765637,0.9071795501390227,0.0020644075853571,0.0055191578290301,0.011259081971221404,-0.0076376984177714,1.37276072948089e-07,1.4002159440705078e-05,-0.0034720358265692,0.0108644543411669,0.27704358569975596
40,41,446,0.038500269074575,0.26180182970711,0.0046080191078731,2.86129319946441e-06,5.211641184738746e-06,432,0.0613600943906931,0.538235375577642,-9.51011526947508e-06,0.991619900243062,0.991619900243062,0.0023087646115713,0.0005468472973235,0.0020658675676665556,-0.004477913713984,0.0005864029315558,0.007476637377336451,-0.002342125585692,0.0473757602422151,0.5064879289761086
41,42,390,0.189583264145767,0.4958331523812368,0.004280063089389,3.43054319016281e-06,6.0330242309759765e-06,334,0.496905069914646,0.666898909622288,0.0001329388796183,0.871752612923893,0.9432805961913973,0.0020735621048853,0.0008008133933622,0.0025525926913420125,-0.0028412480310178,0.0233695959582793,0.07581176790530272,-0.0008822469128034,0.42503680861295,0.8671420800140424
42,43,375,0.25946164742345,0.6154671636556256,0.0046688060576293,3.35288107747021e-07,8.999838681630564e-07,323,0.564714762047515,0.6757170195967109,-0.000327555820504,0.700392319580673,0.889895867267568,0.0024981809390666,6.51434775592906e-05,0.000513873071743645,-0.0032129718911004,0.0075825172753157,0.038670838104110074,-0.0003074722434248,0.785976406480154,0.9119432629508449
43,44,272,0.830925228321576,0.9165782744031661,0.0052911143463138,4.5749102987055e-07,1.1965150011999e-06,309,0.648162024328485,0.7108873815215643,0.0012282862445378,0.213818083192721,0.5319376703818912,0.002031414050888,0.0048185334259182,0.010030416519258293,-0.0016936554371334,0.234797362046614,0.30315608770575475,-0.0004538048658554,0.736827258190596,0.9119432629508449
44,45,359,0.346086587262107,0.7510815298028706,0.0046826848576174,5.59996426289396e-08,1.9696426028109792e-07,371,0.280063262936892,0.5800669573413271,-0.0005734313217911,0.457189492002624,0.7521504545849621,0.0026280580897043,5.53169713543559e-06,6.269256753493669e-05,-0.0025168855306231,0.0275003471813353,0.07581176790530272,0.0004438955669644,0.670611960629281,0.9000318418971929
45,46,348,0.410979467342258,0.7762945494242651,0.005547389625031,2.75916626440981e-08,1.1257398358792025e-07,385,0.211515783579671,0.5800669573413271,0.0005743394749854,0.548219170039793,0.7988336477722698,0.0024865250750227,0.0003182588260217,0.001352600010592225,-0.0040413385305316,0.0024757748017529,0.019425309982984296,-0.0004512157002405,0.726138902786011,0.9119432629508449
46,47,435,0.0557520555012161,0.3262630637764233,0.0038446248442344,0.0003380572328989,0.0004257017006875037,370,0.285331795166712,0.5800669573413271,-0.0004983127796509,0.638243492060768,0.8797410295972748,0.0021714688119427,0.003956937598635,0.008865999370272964,-0.0039089435372361,0.0059953839230364,0.032185745271037514,-0.0022283907592135,0.108449300206945,0.7299542280748681
47,48,474,0.0130154624494026,0.16053546109469613,0.0049887899553222,1.96378967258915e-07,6.06989535163919e-07,431,0.0633218088914873,0.538235375577642,-0.0001186851759475,0.898033650618766,0.9443240449805582,0.0025537375656348,0.0001285680692929,0.0007285523926597666,-0.0034662627334174,0.00867346608082,0.042128263821125715,-0.0010256149050896,0.41300621118874,0.8671420800140424
48,49,343,0.441402831362211,0.8008504819376154,0.0054849520309813,1.52147469316309e-06,3.3737047544051126e-06,384,0.21606971717847,0.5800669573413271,0.0015548341468148,0.152884527826984,0.478086812300676,0.0019650589420832,0.0126515431084475,0.02135624064513488,-0.0035067999749437,0.0258509059823932,0.07581176790530272,-3.2740127961096e-05,0.983138863004432,0.9928729111529907
49,50,202,0.981121488046483,0.981121488046483,0.006667347713044,2.2061802256350198e-12,3.750506383579534e-11,327,0.540168045918108,0.6757170195967109,0.003893753532435,1.54096731391727e-05,0.0015717866601956153,0.0013867970903044,0.0330753815029445,0.046856790462504704,-0.0033239084621576,0.009608443789099,0.042611359412525994,-0.0024103208906122,0.0496556793113832,0.5064879289761086
50,51,472,0.0141648936260026,0.16053546109469613,0.0053735615715632,2.6486286500964298e-11,2.7016012230983583e-10,390,0.189583264145767,0.5800669573413271,-3.19605861606487e-05,0.965474453632863,0.975033606639129,0.0027027610788619,7.61360961500049e-07,1.5531763614601003e-05,-0.0019414363482486,0.0854870664129526,0.15943281827583114,0.001386754538335,0.167966533007701,0.7299542280748681
51,52,481,0.0095902961038518,0.16053546109469613,0.0054362405153922,1.09175729835402e-05,1.7132191451093854e-05,320,0.582971546318731,0.6757170195967109,0.0013225507296268,0.231328230504494,0.548732081661823,0.0020568448928827,0.0127718694054238,0.02135624064513488,-0.0018918009213116,0.255882789499896,0.3262505566123674,0.0017724664741406,0.239861521812306,0.8197229739630005
52,53,413,0.107234700510162,0.34181060787614137,0.0055815712620842,1.51227856420857e-07,4.820387923414817e-07,335,0.490715937121422,0.666898909622288,0.0011182242473937,0.208153452763803,0.5319376703818912,0.0022316735073452,0.0012713439790672,0.003602141274023733,-0.0018479397427288,0.197879249323736,0.28833833472887244,0.0009110361801538,0.440966577653256,0.8671420800140424
53,54,434,0.0575758347840747,0.3262630637764233,0.0050999752032521,1.50177790484615e-06,3.3737047544051126e-06,399,0.1537102531438,0.5800669573413271,0.0019055580106359,0.0366163186885908,0.18413997611532235,0.001597208596308,0.0221633333905387,0.03374119411693951,-0.0006342772305124,0.653754970629725,0.7093936915343825,0.0001070056790018,0.931412687400058,0.9896259803625617
58,59,382,0.22534171064035,0.5472584401265643,0.0039425010043847,4.35008145158861e-06,7.520479797661664e-06,376,0.254433285517735,0.5800669573413271,0.0002203712584034,0.793236861096439,0.9091029194588401,0.0018610648729906,0.0018856717306898,0.00480846291325899,-0.001231459334474,0.307514053771508,0.3779088371649857,0.0010343576129421,0.373262969093412,0.8671420800140424
61,62,244,0.919236641100724,0.9376213739227385,0.0038118992929079,0.0001997189110278,0.00025786492309918483,327,0.540168045918108,0.6757170195967109,-7.01904885960074e-05,0.946471773994661,0.975033606639129,0.0019410448907519,0.0079576642419318,0.0150311435680934,-0.0005027976925256,0.72286626223531,0.7680454036250169,0.0011490973552991,0.413322989366441,0.8671420800140424
66,67,474,0.0130154624494026,0.16053546109469613,0.005733212140226,2.66678680935107e-10,1.942944675384351e-09,462,0.0212628066947218,0.538235375577642,0.0013898043108448,0.0948194183747423,0.3454135955079898,0.0021717039146905,0.0004061082527942,0.0015931939148080155,-0.0023893460527875,0.0586959548231075,0.1360678952717492,0.0011687131287187,0.314151917560498,0.8671420800140424
70,71,294,0.73033365723677,0.8641796008771718,0.0051426661332114,1.69631099737412e-06,3.5310963618808213e-06,433,0.0594449738127878,0.538235375577642,0.0009554474059519,0.335410183534599,0.6328960899652034,0.0020936093636297,0.0041891305754766,0.009091304653161983,-0.0020579707166278,0.159946194774286,0.2515453863045961,0.0020209823345482,0.132826759732962,0.7299542280748681
71,72,355,0.369286955654388,0.7533453895349516,0.0052768121654521,2.04466763197883e-07,6.134002895936491e-07,360,0.340369620942511,0.6074087190139664,0.001438951763741,0.14433567304253,0.4749109242044536,0.0019189302008555,0.0065024498337009,0.012994381305132289,-0.0009326565987123,0.490107651490285,0.5616964095731356,0.0017080531491779,0.184375610434763,0.7299542280748681
72,73,293,0.73546042072121,0.8641796008771718,0.0041095559214215,2.13494857439137e-05,3.2024228615870555e-05,368,0.296004731193534,0.5800669573413271,0.0011301505892827,0.212036992102984,0.5319376703818912,0.0014897026660694,0.0247929377090872,0.03665042965691151,-0.0015440638864351,0.230508249418356,0.301433864624004,0.001841202528745,0.122236973353888,0.7299542280748681
73,74,474,0.0130154624494026,0.16053546109469613,0.0055154341920785,1.21575049710045e-06,2.8183306978237705e-06,414,0.104342358448775,0.5800669573413271,0.0021159648293697,0.0529335352100333,0.21596882365693587,0.0016997346813544,0.030344007518922,0.04373234428492464,-0.0027044278139845,0.07237463129664,0.15302521095040245,0.0004011697003119,0.786774579800729,0.9119432629508449
75,76,328,0.534004296205239,0.8510693470770997,0.0042874827589724,5.02706059720115e-08,1.9696426028109792e-07,357,0.357622625742806,0.6074087190139664,0.0001818488656177,0.807670313248668,0.9153596883484905,0.0020528169466773,0.000162295566635,0.0008277073898385,-0.001947383988284,0.0555621928210965,0.1317986899477173,0.0008421564603617,0.3878202978566,0.8671420800140424
76,77,324,0.558597168637789,0.856225925446779,0.004280747134846,7.31085730244699e-06,1.2027539433057952e-05,368,0.296004731193534,0.5800669573413271,0.0008123883403572,0.366933109724109,0.657799591581981,0.0017341793972443,0.0082436481378622,0.015288220182944444,-0.0019596934453285,0.121574982249651,0.20328931458138366,0.000852495459991,0.474453634965652,0.8671420800140424
