"node","_Intercept__estimate","_Intercept__p_value","listenL2_greater_estimate","listenL2_greater_p_value"
"70",0.00357056233543853,0.95998372499047,0.0530820088650865,0.147659507625662
"71",-0.0593698591909348,0.401573153216756,0.0764987070015308,0.0281749731942926
"72",0.0263345859494183,0.479921806660713,0.0238118671629156,0.440613477801869
"73",-0.0126605349454906,0.859421984999936,0.0294522462013665,0.413177544852394
"74",0.190103068508359,0.264038343314367,0.0463189482275805,0.237229063203176
"75",-0.0116091484181052,0.755351237902331,0.0383496767783748,0.304152891782761
"76",0.0144441795333624,0.754769960109779,0.0469056972101141,0.109923878357492
"77",-0.0256550272869199,0.467423582290182,0.0177138097598534,0.564892740462332
"78",-0.0245681250401043,0.663433169652117,0.0176396616089809,0.6366753072109
"79",0.0146859422204659,0.798277400501255,0.038284663557583,0.185665631838565
"80",0.00145311647512387,0.98168488039293,0.0268023588600222,0.13658827165027
"81",0.0444190587511965,0.311415147041966,0.0621179852761584,0.0602629750732084
"82",0.082609874129224,0.445532649162714,0.0240203147191084,0.498898960967453
"83",0.0401866257820713,0.475189676871918,0.0344966919669747,0.183378681566502
"84",0.0600556212051877,0.140675129194124,0.0133927866146477,0.68669629269727
"85",0.0146573134397607,0.884124665698589,0.040950117452363,0.202315125776475
"86",0.0448930080131608,0.718463657075559,0.0166545068092036,0.63491619499075
"87",0.0117048645712456,0.919522480676674,-0.00890937818475203,0.778065255282047
"88",0.022207573301805,0.830789252376582,0.0310290778916676,0.435248739707684
"89",0.00508075894563489,0.970057752703718,0.0094094648650133,0.777102191268316
"90",0.0912169674629922,0.533450945274124,0.0390995669771247,0.250739900009081
"91",0.0163676678302728,0.851553505064835,0.0423906528391078,0.08364610472125
"92",0.092361403738984,0.363223832308061,0.0117454681237824,0.645451535921138
"93",0.176757036975642,0.000202496837120072,-0.00952247681455788,0.810032806645929
"94",0.000525263410177034,0.98602816375893,0.017009026269828,0.542917957433324
"95",0.0543209237052048,0.545615155539975,0.0157149927516759,0.682763033538041
"96",-0.0137621320585077,0.817196755527356,0.0157393814435896,0.6160668078569
"97",0.0381798156518702,0.644759802781581,0.0379035977482165,0.195077728064793
"98",0.0419620576960309,0.68439582993645,0.0785379572090568,0.01437279643064
"99",0.0289065060683761,0.497699525452576,0.0513571192241396,0.18104942605514
"100",0.00155461446671504,0.986138371427725,0.0559948455807494,0.0971316007198341
"hippocampus_L",0.00490724456523481,0.90090794533974,0.00600787083995569,0.842773407370614
"hippocampus_R",-0.0108173376438824,0.706108473261915,-0.00255505445226255,0.925431095925868
